run order,design,angle,paper,I,II,III,mean
5,-1,-1,-1,66.4375,83.125,87,78.85416667
6,1,-1,-1,31.9375,37.75,31.1875,33.625
7,-1,1,-1,63.375,49.9375,55.375,56.22916667
1,1,1,-1,49.5,37.5625,61.8125,49.625
3,-1,-1,1,106.3125,97.6875,96.4375,100.1458333
2,1,-1,1,53.6875,44.375,55.5,51.1875
8,-1,1,1,30.625,28.25,42.75,33.875
4,1,1,1,17.5625,26.4375,21.3125,21.77083333
1,-1,0,-1,82.5625,126.9375,65.5,91.66666667
3,1,0,-1,60.625,47.375,40.625,49.54166667
2,-1,0,1,82.4375,64.9375,77.125,74.83333333
4,1,0,1,54.4375,31.3125,54.875,46.875
1,-1,0,-1,55,55.3125,76.625,62.3125
4,1,0,-1,36.25,35.0625,52.8125,41.375
3,-1,0,1,62.75,63.9375,69.8125,65.5
2,1,0,1,44.5625,38.5625,51.375,44.83333333
